[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=81
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=10
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=11
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=12
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=13
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=82
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=0
[2021-01-12 11:28:34]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=1
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=83
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=84
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=85
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=86
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=2
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=87
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=3
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=4
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=5
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=88
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=89
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=0
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=1
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=90
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=14
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=15
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=16
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=17
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=91
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=92
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=18
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=19
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=20
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=21
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=93
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=22
[2021-01-12 11:28:35]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=23
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=24
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_3526922bps/bunny_3526922bps_BigBuckBunny_2s3.m4s/seg=25
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=94
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=2
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=3
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=4
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=5
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=2
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_262537bps/bunny_262537bps_BigBuckBunny_2s2.m4s/seg=0
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=3
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_262537bps/bunny_262537bps_BigBuckBunny_2s2.m4s/seg=1
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=4
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_334349bps/bunny_334349bps_BigBuckBunny_2s2.m4s/seg=5
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=95
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=96
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=6
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=7
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=97
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_4219897bps/bunny_4219897bps_BigBuckBunny_2s3.m4s/seg=98
[2021-01-12 11:28:36]INFO:Read handle: serve data /edu/umass/bunny_2484135bps/bunny_2484135bps_BigBuckBunny_2s3.m4s/seg=8
